hispanic,white,black,native,multiple,CENSUS_TRACT,api,tract,state,county
518,2318,939,18,159,37001020100,414,020100,37,001
1447,1228,1220,28,115,37001020200,456,020200,37,001
1345,1078,1583,27,105,37001020301,282,020301,37,001
1991,976,837,6,83,37001020302,590,020302,37,001
1668,1249,3318,10,193,37001020400,4610,020400,37,001
516,2595,617,16,148,37001020501,366,020501,37,001
1201,1141,1738,18,126,37001020502,381,020502,37,001
173,2751,105,6,57,37001020601,610,020601,37,001
229,1860,274,6,76,37001020602,380,020602,37,001
509,3247,873,11,152,37001020701,17612,020701,37,001
653,2450,1592,19,233,37001020702,8210,020702,37,001
335,1042,418,4,78,37001020801,393,020801,37,001
1924,1912,2017,22,185,37001020802,980,020802,37,001
833,2000,787,8,126,37001020901,814,020901,37,001
566,2647,443,24,114,37001020902,710,020902,37,001
965,1391,1479,23,168,37001021000,292,021000,37,001
589,1986,1122,26,173,37001021101,520,021101,37,001
333,2233,774,7,133,37001021102,730,021102,37,001
1607,2585,1798,13,219,37001021201,320,021201,37,001
831,3194,839,33,194,37001021204,1021,021204,37,001
643,4342,2188,24,379,37001021205,2838,021205,37,001
601,3127,1260,21,228,37001021206,841,021206,37,001
305,2523,452,3,173,37001021207,270,021207,37,001
458,3770,1592,41,207,37001021300,470,021300,37,001
138,2312,128,9,59,37001021400,71,021400,37,001
161,3949,287,15,119,37001021500,65,021500,37,001
598,6748,1004,19,335,37001021600,1640,021600,37,001
105,3080,167,2,60,37001021701,550,021701,37,001
279,4729,482,9,161,37001021702,1910,021702,37,001
691,4954,1424,20,323,37001021703,4843,021703,37,001
211,4054,249,23,117,37001021801,193,021801,37,001
202,3169,93,9,122,37001021802,140,021802,37,001
145,2642,120,4,110,37001021803,40,021803,37,001
299,3823,278,10,167,37001021901,180,021901,37,001
611,3270,290,9,179,37001021902,310,021902,37,001
333,2864,333,12,131,37001022001,573,022001,37,001
690,3248,435,29,186,37001022002,931,022002,37,001
151,2945,43,7,87,37003040100,40,040100,37,003
95,3547,100,9,87,37003040200,240,040200,37,003
75,2818,80,2,96,37003040300,140,040300,37,003
427,5096,640,33,229,37003040400,500,040400,37,003
630,5329,295,11,217,37003040500,510,040500,37,003
244,5066,650,37,218,37003040600,920,040600,37,003
214,6092,111,12,244,37003040700,1551,040700,37,003
480,3423,40,20,86,37005950100,21,950100,37,005
615,2969,57,9,85,37005950200,133,950200,37,005
193,2794,6,6,55,37005950300,02,950300,37,005
40,1252,1323,21,125,37007920100,150,920100,37,007
27,869,462,3,29,37007920200,150,920200,37,007
210,3100,964,11,153,37007920301,501,920301,37,007
68,520,33,0,24,37007920302,00,920302,37,007
48,603,1739,18,38,37007920400,180,920400,37,007
17,329,562,3,21,37007920501,101,920501,37,007
81,1902,2245,14,103,37007920502,780,920502,37,007
126,1335,1909,7,62,37007920600,292,920600,37,007
48,683,601,12,16,37007980000,60,980000,37,007
82,2289,8,5,105,37009970200,40,970200,37,009
38,2275,3,3,53,37009970300,90,970300,37,009
319,3898,19,10,79,37009970400,200,970400,37,009
224,3146,36,19,64,37009970501,143,970501,37,009
281,2590,19,1,92,37009970502,211,970502,37,009
120,3099,11,1,97,37009970701,104,970701,37,009
140,2305,8,3,50,37009970702,143,970702,37,009
69,2016,6,2,44,37009970801,10,970801,37,009
246,2410,15,4,89,37009970802,91,970802,37,009
168,2704,54,7,76,37011930100,210,930100,37,011
203,3085,10,9,101,37011930200,140,930200,37,011
229,2977,19,13,89,37011930301,91,930301,37,011
115,2821,12,9,68,37011930302,20,930302,37,011
272,3962,554,20,101,37011930400,100,930400,37,011
228,2067,533,11,47,37013930101,00,930101,37,013
149,862,697,2,33,37013930102,80,930102,37,013
452,4076,1130,9,183,37013930200,323,930200,37,013
238,1567,1912,12,115,37013930300,230,930300,37,013
483,2412,2030,8,137,37013930400,331,930400,37,013
